Date,Sr No,Credit,Debit,Amount,Remark,Fromto
"=""15/02/2026 00:00:00""","=""1""","=""40000000""","=""0""","=""40000000""","=""Opening pts""","="""""
"=""15/02/2026 22:48:54""","=""2""","=""1800500""","=""0""","=""41800500""","=""Bank Withdraw""","=""lg1602/High511"""
"=""15/02/2026 22:48:56""","=""3""","=""1182332.57""","=""0""","=""42982832.57""","=""Bank Withdraw""","=""number8/High511"""
"=""15/02/2026 22:48:59""","=""4""","=""6099767.71""","=""0""","=""49082600.28""","=""Bank Withdraw""","=""sethmas1602/High511"""
