Date,Sr No,Credit,Debit,Amount,Remark,Fromto
"=""15/02/2026 00:00:00""","=""1""","=""0""","=""0""","=""0""","=""Opening pts""","="""""
"=""15/02/2026 23:08:18""","=""2""","=""0""","=""-112500""","=""-112500""","=""Bank Deposite""","=""zxseriesexch1/8num57"""
"=""15/02/2026 23:08:39""","=""3""","=""19882531.6""","=""0""","=""19770031.6""","=""Bank Withdraw""","=""jms1010/zxseriesexch1"""
"=""15/02/2026 23:08:49""","=""4""","=""7681000""","=""0""","=""27451031.6""","=""Bank Withdraw""","=""pkji0099/zxseriesexch1"""
"=""15/02/2026 23:22:57""","=""5""","=""0""","=""-85858740.47""","=""-58407708.87""","=""Bank Deposite""","=""zxseriesexch1/dd1551"""
