Date,Sr No,Credit,Debit,Amount,Remark,Fromto
"=""15/02/2026 00:00:00""","=""1""","=""5000000""","=""0""","=""5000000""","=""Opening pts""","="""""
"=""15/02/2026 23:03:18""","=""2""","=""0""","=""-75000""","=""4925000""","=""Bank Deposite""","=""jmsadmin/mk8500"""
"=""15/02/2026 23:03:21""","=""3""","=""1770256.5""","=""0""","=""6695256.5""","=""Bank Withdraw""","=""mkr020/jmsadmin"""
"=""15/02/2026 23:03:28""","=""4""","=""0""","=""-5600000""","=""1095256.5""","=""Bank Deposite""","=""jmsadmin/mj18200"""
